duracion_supervivencia,poblacion_inicial,poblacion_total,supervivencia_max,edad_promedio,salud_promedio,clima,terreno,genotipo_fuerza,genotipo_velocidad,genotipo_resistencia,genotipo_inteligencia,genotipo_adaptabilidad,genotipo_supervivencia
7,10,11,7,33.833333333333336,100.10267079384603,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'pradera', 'sabana', 'pantano'}",64.0,58.0,79.0,62.0,58.0,5.0
9,10,20,7,24.875,100.19116653256219,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",9.0,73.0,67.0,77.0,79.0,80.0
10,10,29,6,20.5,100.47087447753853,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",30.0,88.0,74.0,66.0,69.0,6.0
9,10,27,8,15.636363636363637,99.88014443535826,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",91.0,50.0,38.0,88.0,22.0,64.0
14,10,54,13,8.208333333333334,100.16743622266635,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",15.0,24.0,66.0,57.0,33.0,75.0
7,10,32,5,15.727272727272727,100.53791643979362,"{'lluvioso', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",22.0,5.0,7.0,75.0,98.0,40.0
6,10,11,6,37.6,100.00898780844126,"{'tormenta', 'soleado'}","{'pradera', 'sabana', 'pantano'}",37.0,48.0,37.0,99.0,90.0,51.0
5,10,10,5,51.0,100.4615468216156,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'sabana', 'pantano'}",31.0,7.0,38.0,73.0,17.0,19.0
12,10,19,11,31.0,100.07474283033443,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'sabana', 'acantilado', 'pantano', 'pradera'}",69.0,62.0,72.0,92.0,13.0,49.0
4,10,13,4,31.25,100.17882771924413,"{'tormenta', 'soleado'}","{'desierto', 'pradera', 'sabana', 'pantano'}",67.0,61.0,78.0,85.0,69.0,70.0
5,10,10,5,22.5,100.02732155136707,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",65.0,96.0,9.0,48.0,95.0,82.0
9,10,33,6,16.307692307692307,100.54799347652481,"{'lluvioso', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",86.0,79.0,46.0,5.0,62.0,68.0
6,10,18,5,26.818181818181817,99.93228497930717,"{'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",75.0,42.0,26.0,23.0,80.0,31.0
7,10,15,5,30.4,100.31481079057612,"{'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'pantano', 'pradera'}",39.0,41.0,15.0,90.0,20.0,23.0
12,10,25,11,20.0,100.30283116766654,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",98.0,89.0,7.0,5.0,18.0,87.0
16,10,41,10,15.052631578947368,100.30980079084145,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",32.0,70.0,18.0,70.0,9.0,57.0
18,10,37,15,14.7,100.3022082623557,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",90.0,94.0,45.0,43.0,6.0,76.0
9,10,17,7,28.5,96.25550226780588,"{'lluvioso', 'tormenta', 'soleado'}","{'pradera', 'agua', 'sabana', 'pantano'}",58.0,11.0,30.0,69.0,56.0,40.0
7,10,26,6,25.666666666666668,100.20653978352226,"{'lluvioso', 'tormenta', 'soleado'}","{'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",68.0,59.0,24.0,32.0,57.0,13.0
9,10,36,6,14.833333333333334,103.00586050041392,"{'lluvioso', 'tormenta', 'soleado'}","{'desierto', 'agua', 'sabana', 'acantilado', 'pantano', 'pradera'}",20.0,44.0,23.0,95.0,49.0,78.0
